"MAINTENANCEID","REGISTRATIONNO","MAINTENANCEDATE","MAINTENANCETYPE","MAINTENANCECOST","TEAMID"
M662,Car14,2020-06-28 00:00:00.000,M004,400,T004
M663,Car13,2016-08-28 00:00:00.000,M003,300,T004
M664,Car08,2018-11-25 00:00:00.000,M005,500,T003
M665,Car18,2019-12-07 00:00:00.000,M003,300,T002
M666,Car29,2016-05-01 00:00:00.000,M004,400,T002
M667,Car06,2021-03-06 00:00:00.000,M004,400,T002
M668,Car11,2016-05-01 00:00:00.000,M003,300,T001
M669,Car06,2017-09-16 00:00:00.000,M002,200,T003
M670,Car09,2017-02-25 00:00:00.000,M001,100,T002
M671,Car14,2018-02-11 00:00:00.000,M005,500,T005
M672,Car29,2020-11-15 00:00:00.000,M004,400,T005
M673,Car20,2015-07-12 00:00:00.000,M004,400,T002
M674,Car17,2015-04-12 00:00:00.000,M002,200,T005
M675,Car27,2021-02-13 00:00:00.000,M001,100,T004
M676,Car06,2017-07-16 00:00:00.000,M005,500,T004
M677,Car25,2021-09-04 00:00:00.000,M002,200,T002
M678,Car28,2021-01-03 00:00:00.000,M002,200,T001
M679,Car10,2016-11-20 00:00:00.000,M002,200,T001
M680,Car10,2015-09-13 00:00:00.000,M001,100,T004
M681,Car25,2015-03-21 00:00:00.000,M005,500,T001
M682,Car15,2020-04-11 00:00:00.000,M002,200,T002
M683,Car10,2018-12-08 00:00:00.000,M001,100,T001
M684,Car28,2015-01-24 00:00:00.000,M001,100,T001
M685,Car16,2021-07-04 00:00:00.000,M005,500,T001
M686,Car19,2018-05-19 00:00:00.000,M005,500,T002
M687,Car29,2019-02-02 00:00:00.000,M004,400,T004
M688,Car13,2020-01-12 00:00:00.000,M004,400,T003
M689,Car03,2016-01-17 00:00:00.000,M004,400,T001
M690,Car08,2020-09-26 00:00:00.000,M001,100,T005
M691,Car07,2018-07-14 00:00:00.000,M002,200,T005
M692,Car04,2015-01-24 00:00:00.000,M003,300,T001
M693,Car16,2016-04-30 00:00:00.000,M003,300,T002
M694,Car04,2017-12-24 00:00:00.000,M002,200,T001
M695,Car11,2021-08-22 00:00:00.000,M002,200,T005
M696,Car20,2018-07-22 00:00:00.000,M004,400,T003
M697,Car29,2018-07-07 00:00:00.000,M004,400,T005
M698,Car03,2017-10-21 00:00:00.000,M005,500,T004
M699,Car23,2015-09-13 00:00:00.000,M003,300,T003
M700,Car26,2017-04-01 00:00:00.000,M005,500,T003
M701,Car28,2019-09-22 00:00:00.000,M001,100,T001
M702,Car23,2017-11-11 00:00:00.000,M001,100,T003
M703,Car23,2021-12-25 00:00:00.000,M005,500,T003
M704,Car30,2015-10-24 00:00:00.000,M003,300,T003
M705,Car21,2016-04-09 00:00:00.000,M002,200,T002
M706,Car01,2017-08-13 00:00:00.000,M003,300,T005
M707,Car07,2020-04-11 00:00:00.000,M001,100,T005
M708,Car14,2021-01-02 00:00:00.000,M003,300,T002
M709,Car07,2020-08-22 00:00:00.000,M005,500,T003
M710,Car05,2015-02-07 00:00:00.000,M003,300,T001
M711,Car01,2016-07-17 00:00:00.000,M005,500,T001
M712,Car09,2020-03-15 00:00:00.000,M001,100,T003
M713,Car26,2018-03-25 00:00:00.000,M003,300,T003
M714,Car27,2015-08-23 00:00:00.000,M003,300,T002
M715,Car26,2021-08-29 00:00:00.000,M003,300,T003
M716,Car12,2018-10-07 00:00:00.000,M003,300,T002
M717,Car12,2015-07-18 00:00:00.000,M003,300,T002
M718,Car15,2015-03-21 00:00:00.000,M004,400,T002
M719,Car18,2020-07-05 00:00:00.000,M001,100,T001
M720,Car14,2020-03-15 00:00:00.000,M001,100,T003
M721,Car22,2020-05-17 00:00:00.000,M003,300,T002
M722,Car10,2017-09-17 00:00:00.000,M002,200,T005
M723,Car07,2021-05-09 00:00:00.000,M005,500,T001
M724,Car08,2017-11-11 00:00:00.000,M002,200,T001
M725,Car02,2015-11-29 00:00:00.000,M004,400,T003
M726,Car23,2015-01-17 00:00:00.000,M002,200,T002
M727,Car03,2015-03-22 00:00:00.000,M002,200,T004
M728,Car20,2017-11-05 00:00:00.000,M005,500,T003
M729,Car13,2015-12-27 00:00:00.000,M001,100,T005
M730,Car14,2020-07-05 00:00:00.000,M001,100,T001
M731,Car04,2019-05-18 00:00:00.000,M001,100,T003
M732,Car06,2018-09-09 00:00:00.000,M005,500,T004
M733,Car07,2018-09-02 00:00:00.000,M001,100,T005
M734,Car17,2015-02-22 00:00:00.000,M002,200,T005
M735,Car10,2018-09-23 00:00:00.000,M005,500,T002
M736,Car14,2015-06-20 00:00:00.000,M005,500,T003
M737,Car10,2016-01-24 00:00:00.000,M005,500,T003
M738,Car21,2016-11-13 00:00:00.000,M005,500,T003
M739,Car25,2021-07-17 00:00:00.000,M004,400,T001
M740,Car02,2015-07-04 00:00:00.000,M001,100,T004
M741,Car21,2020-11-01 00:00:00.000,M003,300,T002
M742,Car20,2018-06-09 00:00:00.000,M003,300,T003
M743,Car13,2015-07-05 00:00:00.000,M004,400,T002
M744,Car07,2017-11-12 00:00:00.000,M005,500,T003
M745,Car25,2021-06-06 00:00:00.000,M002,200,T003
M746,Car11,2019-10-06 00:00:00.000,M001,100,T004
M747,Car02,2015-06-28 00:00:00.000,M004,400,T003
M748,Car20,2021-05-30 00:00:00.000,M002,200,T003
M749,Car06,2019-09-21 00:00:00.000,M003,300,T003
M750,Car07,2017-12-31 00:00:00.000,M005,500,T005
M751,Car18,2020-02-09 00:00:00.000,M001,100,T001
M752,Car03,2015-12-05 00:00:00.000,M001,100,T005
M753,Car23,2020-11-21 00:00:00.000,M001,100,T003
M754,Car22,2021-01-09 00:00:00.000,M001,100,T002
M755,Car19,2019-11-30 00:00:00.000,M001,100,T002
M756,Car09,2021-12-11 00:00:00.000,M005,500,T001
M757,Car23,2020-11-29 00:00:00.000,M005,500,T001
M758,Car02,2016-04-02 00:00:00.000,M004,400,T001
M759,Car23,2019-11-02 00:00:00.000,M004,400,T002
M760,Car05,2016-03-19 00:00:00.000,M005,500,T003
M761,Car18,2021-09-12 00:00:00.000,M001,100,T002
M762,Car25,2018-05-20 00:00:00.000,M005,500,T005
M763,Car06,2018-11-04 00:00:00.000,M001,100,T005
M764,Car14,2017-07-29 00:00:00.000,M002,200,T001
M765,Car22,2016-04-17 00:00:00.000,M003,300,T004
M766,Car15,2020-03-07 00:00:00.000,M003,300,T005
M767,Car06,2016-07-16 00:00:00.000,M005,500,T005
M768,Car16,2020-04-18 00:00:00.000,M002,200,T005
M769,Car06,2018-06-17 00:00:00.000,M002,200,T005
M770,Car04,2021-03-13 00:00:00.000,M005,500,T005
M771,Car04,2015-08-22 00:00:00.000,M002,200,T005
M772,Car30,2021-06-12 00:00:00.000,M001,100,T001
M773,Car13,2019-01-19 00:00:00.000,M005,500,T002
M774,Car17,2018-02-25 00:00:00.000,M004,400,T003
M775,Car13,2015-12-06 00:00:00.000,M002,200,T003
M776,Car25,2018-04-22 00:00:00.000,M005,500,T001
M777,Car07,2020-10-03 00:00:00.000,M005,500,T002
M778,Car01,2019-02-10 00:00:00.000,M001,100,T002
M779,Car05,2021-09-18 00:00:00.000,M003,300,T005
M780,Car10,2018-01-28 00:00:00.000,M005,500,T005
M781,Car17,2018-07-14 00:00:00.000,M003,300,T002
M782,Car11,2015-11-01 00:00:00.000,M001,100,T004
M783,Car04,2017-05-21 00:00:00.000,M003,300,T003
M784,Car22,2018-09-09 00:00:00.000,M001,100,T002
M785,Car22,2015-03-28 00:00:00.000,M005,500,T002
M786,Car07,2017-03-11 00:00:00.000,M001,100,T004
M787,Car12,2020-03-21 00:00:00.000,M001,100,T005
M788,Car06,2021-04-04 00:00:00.000,M004,400,T003
M789,Car25,2019-01-19 00:00:00.000,M002,200,T002
M790,Car30,2019-04-20 00:00:00.000,M003,300,T005
M791,Car18,2017-07-02 00:00:00.000,M005,500,T001
M792,Car14,2016-07-30 00:00:00.000,M005,500,T004
M793,Car19,2019-01-06 00:00:00.000,M002,200,T001
M794,Car25,2018-04-08 00:00:00.000,M005,500,T005
M795,Car16,2015-08-15 00:00:00.000,M003,300,T002
M796,Car06,2017-04-22 00:00:00.000,M002,200,T004
M797,Car03,2021-10-02 00:00:00.000,M005,500,T001
M798,Car16,2016-06-04 00:00:00.000,M004,400,T005
M799,Car24,2017-10-29 00:00:00.000,M003,300,T005
M800,Car05,2015-05-31 00:00:00.000,M001,100,T004
M801,Car21,2019-11-30 00:00:00.000,M001,100,T005
M802,Car19,2015-09-26 00:00:00.000,M003,300,T002
M803,Car23,2018-07-08 00:00:00.000,M005,500,T001
M804,Car03,2019-09-07 00:00:00.000,M003,300,T005
M805,Car09,2016-09-04 00:00:00.000,M005,500,T001
M806,Car30,2018-07-29 00:00:00.000,M002,200,T003
M807,Car02,2020-02-09 00:00:00.000,M005,500,T002
M808,Car07,2018-01-06 00:00:00.000,M005,500,T002
M809,Car19,2015-01-24 00:00:00.000,M001,100,T004
M810,Car07,2019-04-21 00:00:00.000,M002,200,T001
M811,Car09,2016-01-03 00:00:00.000,M003,300,T005
M812,Car08,2021-08-28 00:00:00.000,M005,500,T004
M813,Car19,2017-11-19 00:00:00.000,M001,100,T004
M814,Car30,2019-02-03 00:00:00.000,M005,500,T001
M815,Car26,2016-08-20 00:00:00.000,M005,500,T004
M816,Car14,2019-04-20 00:00:00.000,M001,100,T001
M817,Car03,2019-05-26 00:00:00.000,M003,300,T004
M818,Car19,2017-09-02 00:00:00.000,M004,400,T004
M819,Car25,2019-11-30 00:00:00.000,M003,300,T002
M820,Car02,2015-12-26 00:00:00.000,M004,400,T001
M821,Car10,2019-08-17 00:00:00.000,M004,400,T002
M822,Car22,2021-11-20 00:00:00.000,M004,400,T002
M823,Car01,2021-03-13 00:00:00.000,M005,500,T001
M824,Car25,2017-06-17 00:00:00.000,M005,500,T005
M825,Car07,2019-08-25 00:00:00.000,M002,200,T004
M826,Car16,2021-04-11 00:00:00.000,M001,100,T005
M827,Car21,2017-10-01 00:00:00.000,M005,500,T001
M828,Car07,2017-08-27 00:00:00.000,M001,100,T005
M829,Car12,2021-07-18 00:00:00.000,M003,300,T001
M830,Car28,2020-05-10 00:00:00.000,M001,100,T005
M831,Car02,2020-10-10 00:00:00.000,M005,500,T003
M832,Car01,2019-05-26 00:00:00.000,M002,200,T002
M833,Car30,2019-01-12 00:00:00.000,M005,500,T005
M834,Car02,2016-05-08 00:00:00.000,M004,400,T001
M835,Car08,2015-12-19 00:00:00.000,M002,200,T001
M836,Car16,2015-03-21 00:00:00.000,M003,300,T004
M837,Car06,2020-02-02 00:00:00.000,M004,400,T003
M838,Car12,2016-07-31 00:00:00.000,M005,500,T004
M839,Car20,2015-07-05 00:00:00.000,M003,300,T005
M840,Car10,2019-09-07 00:00:00.000,M005,500,T001
M841,Car15,2016-07-24 00:00:00.000,M004,400,T003
M842,Car01,2017-09-30 00:00:00.000,M003,300,T002
M843,Car29,2016-08-20 00:00:00.000,M001,100,T005
M844,Car11,2017-06-11 00:00:00.000,M001,100,T005
M845,Car02,2015-10-10 00:00:00.000,M004,400,T001
M846,Car17,2017-10-01 00:00:00.000,M004,400,T003
M847,Car24,2018-11-10 00:00:00.000,M005,500,T003
M848,Car30,2016-02-06 00:00:00.000,M002,200,T001
M849,Car23,2018-10-14 00:00:00.000,M003,300,T002
M850,Car28,2016-05-07 00:00:00.000,M005,500,T004
M851,Car21,2019-07-28 00:00:00.000,M005,500,T001
M852,Car01,2017-05-28 00:00:00.000,M004,400,T005
M853,Car03,2019-02-03 00:00:00.000,M005,500,T003
M854,Car02,2016-07-16 00:00:00.000,M005,500,T003
M855,Car14,2021-09-12 00:00:00.000,M003,300,T002
M856,Car29,2017-11-25 00:00:00.000,M004,400,T001
M857,Car07,2021-09-25 00:00:00.000,M003,300,T005
M858,Car04,2018-07-22 00:00:00.000,M001,100,T005
M859,Car29,2018-06-16 00:00:00.000,M002,200,T001
M860,Car09,2021-01-10 00:00:00.000,M003,300,T001
M861,Car26,2018-06-10 00:00:00.000,M003,300,T002
M862,Car24,2017-01-28 00:00:00.000,M002,200,T004
M863,Car28,2020-09-20 00:00:00.000,M003,300,T003
M864,Car29,2018-09-08 00:00:00.000,M005,500,T004
M865,Car29,2019-02-16 00:00:00.000,M004,400,T005
M866,Car11,2015-12-20 00:00:00.000,M003,300,T001
M867,Car10,2017-08-05 00:00:00.000,M004,400,T002
M868,Car27,2020-01-11 00:00:00.000,M003,300,T003
M869,Car28,2019-11-09 00:00:00.000,M001,100,T005
M870,Car09,2015-09-13 00:00:00.000,M005,500,T003
M871,Car02,2015-07-18 00:00:00.000,M001,100,T001
M872,Car30,2017-03-12 00:00:00.000,M004,400,T001
M873,Car06,2016-06-04 00:00:00.000,M004,400,T001
M874,Car29,2017-06-03 00:00:00.000,M005,500,T005
M875,Car09,2021-11-13 00:00:00.000,M003,300,T005
M876,Car03,2020-12-27 00:00:00.000,M001,100,T005
M877,Car26,2018-11-11 00:00:00.000,M001,100,T002
M878,Car30,2016-04-03 00:00:00.000,M005,500,T005
M879,Car27,2015-01-03 00:00:00.000,M002,200,T001
M880,Car09,2017-01-22 00:00:00.000,M002,200,T002
M881,Car01,2021-11-28 00:00:00.000,M004,400,T003
M882,Car28,2019-03-09 00:00:00.000,M005,500,T002
M883,Car27,2018-04-01 00:00:00.000,M005,500,T002
M884,Car30,2015-07-18 00:00:00.000,M005,500,T004
M885,Car01,2021-02-13 00:00:00.000,M005,500,T001
M886,Car28,2019-03-03 00:00:00.000,M004,400,T004
M887,Car17,2020-02-22 00:00:00.000,M001,100,T003
M888,Car27,2018-02-24 00:00:00.000,M004,400,T001
M889,Car06,2017-02-11 00:00:00.000,M002,200,T001
M890,Car06,2016-11-27 00:00:00.000,M004,400,T001
M891,Car19,2019-03-16 00:00:00.000,M002,200,T001
M892,Car29,2021-08-15 00:00:00.000,M002,200,T001
M893,Car20,2019-06-16 00:00:00.000,M005,500,T002
M894,Car19,2017-04-02 00:00:00.000,M003,300,T005
M895,Car28,2019-12-21 00:00:00.000,M001,100,T005
M896,Car28,2016-01-30 00:00:00.000,M003,300,T002
M897,Car27,2019-06-29 00:00:00.000,M003,300,T004
M898,Car21,2018-07-28 00:00:00.000,M003,300,T003
M899,Car29,2021-05-30 00:00:00.000,M002,200,T001
M900,Car06,2019-06-08 00:00:00.000,M004,400,T003
M901,Car21,2021-07-04 00:00:00.000,M005,500,T002
M902,Car15,2016-11-19 00:00:00.000,M003,300,T002
M903,Car21,2017-01-08 00:00:00.000,M005,500,T005
M904,Car26,2017-03-26 00:00:00.000,M005,500,T001
M905,Car15,2019-02-17 00:00:00.000,M002,200,T005
M906,Car09,2020-04-04 00:00:00.000,M001,100,T002
M907,Car18,2018-08-19 00:00:00.000,M002,200,T002
M908,Car01,2015-01-24 00:00:00.000,M003,300,T003
M909,Car16,2017-10-01 00:00:00.000,M001,100,T001
M910,Car27,2017-11-05 00:00:00.000,M003,300,T001
M911,Car20,2018-05-05 00:00:00.000,M002,200,T002
M912,Car29,2019-04-13 00:00:00.000,M004,400,T002
M913,Car01,2019-11-17 00:00:00.000,M003,300,T005
M914,Car01,2020-08-08 00:00:00.000,M002,200,T001
M915,Car15,2017-08-13 00:00:00.000,M004,400,T003
M916,Car16,2015-04-12 00:00:00.000,M002,200,T002
M917,Car06,2015-03-07 00:00:00.000,M003,300,T002
M918,Car01,2015-09-06 00:00:00.000,M001,100,T003
M919,Car05,2017-12-10 00:00:00.000,M004,400,T002
M920,Car22,2021-10-03 00:00:00.000,M002,200,T003
M921,Car21,2018-06-17 00:00:00.000,M005,500,T002
M922,Car04,2017-10-28 00:00:00.000,M005,500,T004
M923,Car26,2020-05-30 00:00:00.000,M004,400,T004
M924,Car29,2017-02-26 00:00:00.000,M005,500,T002
M925,Car20,2017-12-10 00:00:00.000,M004,400,T002
M926,Car24,2020-12-27 00:00:00.000,M001,100,T003
M927,Car21,2021-12-12 00:00:00.000,M001,100,T003
M928,Car06,2016-03-13 00:00:00.000,M003,300,T003
M929,Car25,2018-08-18 00:00:00.000,M001,100,T004
M930,Car14,2015-02-01 00:00:00.000,M001,100,T005
M931,Car29,2020-02-08 00:00:00.000,M002,200,T003
M932,Car11,2019-05-12 00:00:00.000,M003,300,T005
M933,Car22,2019-02-16 00:00:00.000,M004,400,T003
M934,Car30,2016-04-02 00:00:00.000,M002,200,T002
M935,Car06,2021-08-28 00:00:00.000,M004,400,T001
M936,Car13,2015-07-19 00:00:00.000,M002,200,T004
M937,Car29,2015-11-22 00:00:00.000,M005,500,T001
M938,Car17,2015-04-18 00:00:00.000,M001,100,T004
M939,Car24,2017-12-16 00:00:00.000,M001,100,T002
M940,Car06,2016-09-24 00:00:00.000,M001,100,T004
M941,Car06,2021-03-20 00:00:00.000,M004,400,T003
M942,Car28,2019-12-08 00:00:00.000,M005,500,T004
M943,Car30,2017-07-29 00:00:00.000,M005,500,T002
M944,Car26,2020-06-28 00:00:00.000,M002,200,T003
M945,Car02,2019-12-22 00:00:00.000,M004,400,T005
M946,Car07,2018-05-27 00:00:00.000,M004,400,T005
M947,Car10,2017-05-21 00:00:00.000,M002,200,T002
M948,Car14,2016-02-06 00:00:00.000,M005,500,T005
M949,Car03,2019-02-23 00:00:00.000,M004,400,T003
M950,Car21,2019-02-17 00:00:00.000,M002,200,T004
M951,Car27,2019-10-27 00:00:00.000,M001,100,T005
M952,Car28,2021-06-12 00:00:00.000,M003,300,T003
M953,Car21,2021-06-19 00:00:00.000,M004,400,T002
M954,Car22,2019-07-20 00:00:00.000,M005,500,T002
M955,Car20,2016-01-10 00:00:00.000,M002,200,T003
M956,Car14,2016-02-14 00:00:00.000,M003,300,T001
M957,Car10,2020-11-01 00:00:00.000,M003,300,T003
M958,Car29,2016-07-16 00:00:00.000,M005,500,T005
M959,Car08,2019-10-19 00:00:00.000,M001,100,T002
M960,Car18,2017-12-10 00:00:00.000,M004,400,T004
M961,Car13,2020-02-15 00:00:00.000,M001,100,T001
M962,Car20,2019-06-22 00:00:00.000,M001,100,T005
M963,Car16,2017-09-16 00:00:00.000,M002,200,T003
M964,Car25,2020-07-11 00:00:00.000,M005,500,T003
M965,Car25,2020-02-09 00:00:00.000,M002,200,T001
M966,Car07,2019-07-28 00:00:00.000,M003,300,T005
M967,Car28,2019-10-19 00:00:00.000,M005,500,T003
M968,Car26,2015-02-21 00:00:00.000,M001,100,T003
M969,Car29,2016-06-05 00:00:00.000,M002,200,T003
M970,Car26,2016-10-01 00:00:00.000,M005,500,T001
M971,Car01,2015-12-20 00:00:00.000,M004,400,T004
M972,Car27,2015-06-28 00:00:00.000,M005,500,T003
M973,Car09,2020-12-20 00:00:00.000,M005,500,T002
M974,Car02,2019-03-23 00:00:00.000,M004,400,T003
M975,Car13,2019-03-16 00:00:00.000,M005,500,T002
M976,Car20,2017-02-19 00:00:00.000,M002,200,T001
M977,Car11,2019-07-07 00:00:00.000,M004,400,T003
M978,Car15,2020-11-15 00:00:00.000,M005,500,T005
M979,Car20,2015-07-26 00:00:00.000,M002,200,T005
M980,Car15,2021-11-13 00:00:00.000,M001,100,T004
M981,Car23,2016-03-26 00:00:00.000,M004,400,T001
M982,Car12,2019-08-24 00:00:00.000,M002,200,T002
M983,Car03,2019-12-22 00:00:00.000,M003,300,T002
M1,Car25,2015-12-27 00:00:00.000,M003,300,T005
M2,Car18,2018-11-04 00:00:00.000,M004,400,T001
M3,Car23,2016-03-20 00:00:00.000,M001,100,T001
M4,Car28,2018-06-10 00:00:00.000,M002,200,T003
M5,Car28,2018-04-14 00:00:00.000,M003,300,T005
M6,Car21,2021-01-17 00:00:00.000,M003,300,T003
M7,Car01,2021-04-25 00:00:00.000,M004,400,T003
M8,Car09,2021-11-28 00:00:00.000,M001,100,T004
M9,Car22,2017-06-11 00:00:00.000,M005,500,T004
M10,Car27,2021-08-21 00:00:00.000,M001,100,T001
M11,Car06,2021-03-13 00:00:00.000,M001,100,T004
M12,Car12,2016-10-09 00:00:00.000,M002,200,T002
M13,Car14,2015-06-06 00:00:00.000,M004,400,T005
M14,Car05,2020-01-26 00:00:00.000,M003,300,T005
M15,Car29,2020-02-09 00:00:00.000,M003,300,T001
M16,Car07,2018-08-05 00:00:00.000,M005,500,T001
M17,Car27,2019-10-27 00:00:00.000,M003,300,T004
M18,Car01,2016-11-26 00:00:00.000,M002,200,T002
M19,Car02,2015-03-21 00:00:00.000,M002,200,T004
M20,Car24,2020-07-18 00:00:00.000,M002,200,T004
M21,Car25,2016-04-02 00:00:00.000,M004,400,T002
M22,Car11,2016-05-21 00:00:00.000,M002,200,T001
M23,Car13,2019-09-14 00:00:00.000,M001,100,T004
M24,Car02,2015-10-18 00:00:00.000,M002,200,T005
M25,Car05,2019-06-01 00:00:00.000,M005,500,T005
M26,Car18,2015-09-06 00:00:00.000,M001,100,T004
M27,Car13,2020-02-23 00:00:00.000,M003,300,T003
M28,Car04,2020-11-01 00:00:00.000,M003,300,T001
M29,Car11,2015-02-14 00:00:00.000,M004,400,T001
M30,Car29,2021-10-30 00:00:00.000,M004,400,T003
M31,Car29,2015-12-19 00:00:00.000,M005,500,T001
M32,Car04,2018-05-20 00:00:00.000,M002,200,T003
M33,Car06,2021-07-25 00:00:00.000,M004,400,T005
M34,Car11,2021-09-04 00:00:00.000,M002,200,T003
M35,Car30,2017-03-19 00:00:00.000,M003,300,T004
M36,Car30,2020-10-04 00:00:00.000,M003,300,T001
M37,Car16,2017-12-24 00:00:00.000,M002,200,T002
M38,Car03,2018-05-13 00:00:00.000,M003,300,T001
M39,Car17,2016-07-16 00:00:00.000,M002,200,T005
M40,Car09,2018-09-30 00:00:00.000,M004,400,T004
M41,Car11,2019-06-15 00:00:00.000,M002,200,T003
M42,Car30,2019-01-13 00:00:00.000,M004,400,T001
M43,Car30,2019-09-21 00:00:00.000,M004,400,T005
M44,Car16,2021-07-24 00:00:00.000,M003,300,T004
M45,Car20,2021-01-31 00:00:00.000,M001,100,T003
M46,Car05,2015-08-29 00:00:00.000,M003,300,T004
M47,Car20,2018-08-11 00:00:00.000,M005,500,T003
M48,Car12,2015-12-19 00:00:00.000,M003,300,T002
M49,Car28,2019-08-03 00:00:00.000,M002,200,T001
M50,Car03,2016-08-28 00:00:00.000,M001,100,T003
M51,Car01,2015-09-20 00:00:00.000,M002,200,T003
M52,Car01,2020-09-05 00:00:00.000,M003,300,T001
M53,Car05,2017-08-26 00:00:00.000,M004,400,T005
M54,Car10,2015-10-11 00:00:00.000,M002,200,T001
M55,Car02,2015-11-28 00:00:00.000,M005,500,T003
M56,Car23,2015-06-21 00:00:00.000,M002,200,T001
M57,Car05,2021-08-08 00:00:00.000,M004,400,T001
M58,Car12,2017-02-18 00:00:00.000,M002,200,T004
M59,Car01,2021-05-01 00:00:00.000,M001,100,T004
M60,Car09,2021-12-18 00:00:00.000,M003,300,T005
M61,Car01,2021-06-20 00:00:00.000,M005,500,T004
M62,Car17,2020-05-02 00:00:00.000,M001,100,T001
M63,Car25,2018-12-29 00:00:00.000,M001,100,T005
M64,Car01,2020-03-22 00:00:00.000,M003,300,T004
M65,Car20,2016-07-31 00:00:00.000,M005,500,T002
M66,Car20,2018-09-09 00:00:00.000,M005,500,T002
M67,Car26,2016-03-19 00:00:00.000,M001,100,T004
M68,Car20,2016-08-27 00:00:00.000,M005,500,T001
M69,Car03,2020-12-12 00:00:00.000,M004,400,T004
M70,Car16,2018-02-17 00:00:00.000,M001,100,T005
M71,Car17,2016-07-31 00:00:00.000,M002,200,T004
M72,Car18,2020-01-04 00:00:00.000,M005,500,T004
M73,Car30,2017-01-28 00:00:00.000,M004,400,T001
M74,Car24,2019-03-24 00:00:00.000,M001,100,T005
M75,Car03,2020-02-23 00:00:00.000,M005,500,T005
M76,Car23,2015-09-06 00:00:00.000,M001,100,T004
M77,Car24,2020-07-05 00:00:00.000,M002,200,T003
M78,Car11,2018-01-21 00:00:00.000,M002,200,T003
M79,Car25,2015-07-05 00:00:00.000,M003,300,T004
M80,Car18,2019-07-07 00:00:00.000,M003,300,T004
M81,Car05,2020-02-08 00:00:00.000,M004,400,T002
M82,Car11,2019-05-25 00:00:00.000,M003,300,T003
M83,Car01,2017-07-16 00:00:00.000,M004,400,T004
M84,Car21,2017-05-21 00:00:00.000,M002,200,T002
M85,Car29,2019-11-02 00:00:00.000,M002,200,T005
M86,Car12,2019-01-06 00:00:00.000,M002,200,T001
M87,Car10,2021-09-25 00:00:00.000,M003,300,T004
M88,Car13,2018-01-14 00:00:00.000,M002,200,T002
M89,Car05,2017-04-15 00:00:00.000,M002,200,T005
M90,Car06,2017-03-25 00:00:00.000,M003,300,T003
M91,Car06,2018-12-16 00:00:00.000,M003,300,T002
M92,Car06,2020-04-19 00:00:00.000,M005,500,T003
M93,Car22,2015-07-11 00:00:00.000,M001,100,T003
M94,Car22,2016-08-06 00:00:00.000,M005,500,T003
M95,Car19,2016-01-09 00:00:00.000,M003,300,T004
M96,Car09,2018-03-25 00:00:00.000,M005,500,T003
M97,Car24,2020-09-20 00:00:00.000,M001,100,T004
M98,Car30,2021-03-21 00:00:00.000,M003,300,T003
M99,Car21,2017-04-15 00:00:00.000,M003,300,T003
M100,Car26,2020-05-23 00:00:00.000,M001,100,T004
M101,Car26,2019-12-22 00:00:00.000,M001,100,T005
M102,Car30,2017-12-02 00:00:00.000,M001,100,T005
M103,Car14,2018-07-22 00:00:00.000,M002,200,T002
M104,Car25,2017-03-26 00:00:00.000,M001,100,T002
M105,Car12,2017-03-04 00:00:00.000,M002,200,T003
M106,Car18,2021-06-13 00:00:00.000,M001,100,T001
M107,Car29,2021-07-10 00:00:00.000,M005,500,T001
M108,Car25,2016-01-10 00:00:00.000,M002,200,T003
M109,Car01,2019-09-07 00:00:00.000,M001,100,T005
M110,Car11,2018-07-22 00:00:00.000,M005,500,T001
M111,Car27,2016-10-30 00:00:00.000,M004,400,T002
M112,Car11,2018-07-15 00:00:00.000,M003,300,T005
M113,Car13,2016-01-16 00:00:00.000,M003,300,T002
M114,Car05,2017-04-23 00:00:00.000,M001,100,T003
M115,Car13,2020-06-28 00:00:00.000,M001,100,T004
M116,Car30,2020-02-16 00:00:00.000,M005,500,T003
M117,Car20,2016-09-24 00:00:00.000,M001,100,T004
M118,Car10,2018-07-14 00:00:00.000,M003,300,T005
M119,Car26,2021-11-06 00:00:00.000,M004,400,T004
M120,Car03,2016-10-23 00:00:00.000,M003,300,T001
M121,Car28,2018-07-07 00:00:00.000,M002,200,T004
M122,Car13,2017-02-19 00:00:00.000,M005,500,T003
M123,Car27,2018-08-05 00:00:00.000,M005,500,T003
M124,Car15,2016-10-23 00:00:00.000,M003,300,T004
M125,Car30,2016-01-17 00:00:00.000,M004,400,T004
M126,Car22,2020-03-21 00:00:00.000,M005,500,T004
M127,Car04,2020-01-18 00:00:00.000,M001,100,T005
M128,Car13,2017-08-13 00:00:00.000,M005,500,T002
M129,Car25,2015-01-17 00:00:00.000,M001,100,T002
M130,Car16,2018-04-07 00:00:00.000,M002,200,T005
M131,Car23,2017-06-04 00:00:00.000,M001,100,T003
M132,Car14,2019-03-03 00:00:00.000,M003,300,T001
M133,Car18,2019-06-15 00:00:00.000,M004,400,T001
M134,Car11,2019-03-30 00:00:00.000,M001,100,T003
M135,Car19,2021-10-23 00:00:00.000,M003,300,T004
M136,Car22,2021-05-01 00:00:00.000,M005,500,T005
M137,Car20,2015-05-23 00:00:00.000,M005,500,T005
M138,Car19,2020-08-02 00:00:00.000,M004,400,T001
M139,Car30,2016-08-20 00:00:00.000,M003,300,T005
M140,Car30,2021-10-31 00:00:00.000,M003,300,T001
M141,Car19,2018-04-29 00:00:00.000,M001,100,T002
M142,Car01,2015-09-20 00:00:00.000,M004,400,T001
