"ACCIDENTID","ACCIDENTZONE","CAR_DAMAGE_SEVERITY","ERRORCODE"
A1207,ZoneB,Very minor damage,Error003
A1208,ZoneD,No damage,Error002
A1209,ZoneD,Minor damage,Error004
A1210,ZoneC,No damage,Error002
A1211,ZoneB,Moderate damage,Error003
A1212,ZoneC,Very minor damage,Error003
A1213,ZoneB,No damage,Error002
A1214,ZoneC,No damage,Error002
A1215,ZoneA,Moderate damage,Error004
A1216,ZoneC,Moderate damage,Error001
A1217,ZoneD,Moderate damage,Error001
A1218,ZoneA,No damage,Error002
A1219,ZoneC,No damage,Error002
A1220,ZoneD,Severe damage,Error003
A1221,ZoneC,Severe damage,Error003
A1222,ZoneD,No damage,Error002
A1223,ZoneB,No damage,Error002
A1224,ZoneC,No damage,Error002
A1225,ZoneD,No damage,Error002
A1226,ZoneB,No damage,Error002
A1227,ZoneD,Moderate damage,Error001
A1229,ZoneD,Very minor damage,Error001
A1230,ZoneB,Severe damage,Error005
A1231,ZoneD,Minor damage,Error004
A1232,ZoneD,No damage,Error002
A1233,ZoneC,No damage,Error002
A1234,ZoneB,Severe damage,Error003
A1235,ZoneD,Moderate damage,Error004
A1236,ZoneC,Severe damage,Error003
A1237,ZoneA,No damage,Error002
A1238,ZoneA,No damage,Error002
A1239,ZoneC,Minor damage,Error005
A1240,ZoneC,Severe damage,Error005
A1241,ZoneD,Severe damage,Error001
A1242,ZoneB,No damage,Error002
A1243,ZoneB,Moderate damage,Error003
A1244,ZoneA,Minor damage,Error004
A1245,ZoneB,Very minor damage,Error005
A1246,ZoneA,Severe damage,Error005
A1247,ZoneC,No damage,Error002
A1248,ZoneA,Very minor damage,Error001
A1249,ZoneC,Severe damage,Error003
A1250,ZoneC,Very minor damage,Error003
A1251,ZoneD,Moderate damage,Error001
A1252,ZoneC,Moderate damage,Error005
A1253,ZoneD,Very minor damage,Error005
A1254,ZoneB,No damage,Error002
A1255,ZoneD,No damage,Error002
A1257,ZoneB,Very minor damage,Error005
A1258,ZoneA,Severe damage,Error005
A1259,ZoneB,No damage,Error002
A1260,ZoneD,Minor damage,Error001
A1261,ZoneA,No damage,Error002
A1262,ZoneA,Severe damage,Error003
A1263,ZoneD,No damage,Error002
A1264,ZoneB,No damage,Error002
A1265,ZoneB,No damage,Error002
A1266,ZoneA,Very minor damage,Error005
A1267,ZoneA,Very minor damage,Error004
A1268,ZoneC,Moderate damage,Error001
A1270,ZoneB,No damage,Error002
A1271,ZoneB,Minor damage,Error004
A1272,ZoneB,No damage,Error002
A1273,ZoneC,No damage,Error002
A1274,ZoneC,Minor damage,Error001
A1275,ZoneA,Minor damage,Error001
A1276,ZoneC,Very minor damage,Error001
A1277,ZoneB,Minor damage,Error005
A1278,ZoneD,Moderate damage,Error005
A1279,ZoneC,Minor damage,Error003
A1280,ZoneC,Moderate damage,Error004
A1281,ZoneB,No damage,Error002
A1282,ZoneD,Severe damage,Error004
A1283,ZoneB,No damage,Error002
A1284,ZoneA,No damage,Error002
A1285,ZoneC,Moderate damage,Error004
A1286,ZoneB,No damage,Error002
A1287,ZoneC,Severe damage,Error001
A1288,ZoneC,No damage,Error002
A1289,ZoneC,Moderate damage,Error003
A1290,ZoneB,Moderate damage,Error001
A1291,ZoneC,No damage,Error002
A1292,ZoneC,Minor damage,Error003
A1293,ZoneA,Moderate damage,Error005
A1294,ZoneB,Severe damage,Error001
A1295,ZoneA,No damage,Error002
A1296,ZoneC,No damage,Error002
A1297,ZoneA,No damage,Error002
A1298,ZoneA,No damage,Error002
A1299,ZoneA,No damage,Error002
A1300,ZoneB,Very minor damage,Error003
A1301,ZoneD,Minor damage,Error001
A1302,ZoneB,No damage,Error002
A1303,ZoneC,Very minor damage,Error001
A1304,ZoneB,No damage,Error002
A1305,ZoneC,No damage,Error002
A1306,ZoneB,Moderate damage,Error004
A1307,ZoneB,No damage,Error002
A790,ZoneA,Moderate damage,Error004
A791,ZoneB,Very minor damage,Error001
A792,ZoneA,Severe damage,Error001
A793,ZoneA,Moderate damage,Error004
A794,ZoneB,No damage,Error002
A795,ZoneC,No damage,Error002
A796,ZoneA,No damage,Error002
A797,ZoneD,Minor damage,Error005
A798,ZoneD,Moderate damage,Error003
A799,ZoneA,Very minor damage,Error004
A800,ZoneC,No damage,Error002
A801,ZoneB,No damage,Error002
A802,ZoneD,Minor damage,Error005
A803,ZoneB,No damage,Error002
A804,ZoneC,No damage,Error002
A805,ZoneD,Very minor damage,Error005
A806,ZoneD,Minor damage,Error004
A807,ZoneA,Moderate damage,Error004
A808,ZoneB,Severe damage,Error004
A809,ZoneC,Minor damage,Error003
A810,ZoneC,Moderate damage,Error004
A811,ZoneB,No damage,Error002
A812,ZoneB,Severe damage,Error003
A813,ZoneB,Very minor damage,Error001
A814,ZoneB,Moderate damage,Error001
A815,ZoneB,No damage,Error002
A816,ZoneC,Very minor damage,Error001
A817,ZoneB,Very minor damage,Error005
A818,ZoneA,Severe damage,Error004
A819,ZoneB,Moderate damage,Error001
A820,ZoneD,Minor damage,Error003
A821,ZoneB,No damage,Error002
A822,ZoneA,Severe damage,Error001
A823,ZoneC,Very minor damage,Error004
A824,ZoneD,No damage,Error002
A825,ZoneA,No damage,Error002
A826,ZoneB,No damage,Error002
A827,ZoneC,Severe damage,Error001
A828,ZoneD,No damage,Error002
A829,ZoneC,Moderate damage,Error003
A830,ZoneD,No damage,Error002
A831,ZoneB,Severe damage,Error004
A832,ZoneB,No damage,Error002
A833,ZoneD,Severe damage,Error001
A834,ZoneD,Severe damage,Error003
A835,ZoneA,No damage,Error002
A836,ZoneC,Very minor damage,Error003
A837,ZoneB,Very minor damage,Error001
A838,ZoneD,Severe damage,Error003
A839,ZoneD,No damage,Error002
A840,ZoneC,Moderate damage,Error003
A841,ZoneA,No damage,Error002
A842,ZoneD,Severe damage,Error001
A843,ZoneB,Very minor damage,Error005
A844,ZoneB,Severe damage,Error005
A845,ZoneD,Severe damage,Error005
A846,ZoneC,Severe damage,Error003
A847,ZoneA,No damage,Error002
A848,ZoneA,Severe damage,Error004
A849,ZoneA,Moderate damage,Error003
A850,ZoneB,Minor damage,Error001
A851,ZoneD,No damage,Error002
A852,ZoneC,No damage,Error002
A853,ZoneC,No damage,Error002
A854,ZoneC,Very minor damage,Error003
A855,ZoneB,No damage,Error002
A856,ZoneB,Severe damage,Error001
A857,ZoneC,No damage,Error002
A858,ZoneB,No damage,Error002
A859,ZoneA,Minor damage,Error003
A860,ZoneC,Very minor damage,Error003
A861,ZoneC,Moderate damage,Error003
A862,ZoneA,No damage,Error002
A863,ZoneA,Minor damage,Error004
A864,ZoneD,Severe damage,Error005
A865,ZoneB,No damage,Error002
A866,ZoneB,No damage,Error002
A867,ZoneA,Moderate damage,Error005
A868,ZoneD,Very minor damage,Error004
A869,ZoneD,Severe damage,Error005
A870,ZoneC,Minor damage,Error003
A871,ZoneC,Severe damage,Error003
A872,ZoneC,No damage,Error002
A873,ZoneA,Moderate damage,Error005
A874,ZoneC,Minor damage,Error004
A875,ZoneC,Moderate damage,Error004
A876,ZoneB,No damage,Error002
A877,ZoneB,Very minor damage,Error005
A878,ZoneC,Minor damage,Error005
A879,ZoneD,No damage,Error002
A880,ZoneC,No damage,Error002
A881,ZoneB,No damage,Error002
A882,ZoneC,No damage,Error002
A883,ZoneC,Severe damage,Error004
A884,ZoneD,Severe damage,Error001
A885,ZoneA,Minor damage,Error004
A886,ZoneA,Minor damage,Error001
A887,ZoneD,Minor damage,Error003
A888,ZoneA,No damage,Error002
A889,ZoneC,Very minor damage,Error003
A890,ZoneA,No damage,Error002
A891,ZoneB,No damage,Error002
A892,ZoneD,No damage,Error002
A893,ZoneB,No damage,Error002
A894,ZoneB,Moderate damage,Error001
A895,ZoneC,Severe damage,Error005
A896,ZoneD,Minor damage,Error001
A897,ZoneC,Severe damage,Error005
A898,ZoneC,Moderate damage,Error001
A899,ZoneA,No damage,Error002
A900,ZoneC,No damage,Error002
A901,ZoneA,No damage,Error002
A902,ZoneB,Severe damage,Error005
A903,ZoneC,Severe damage,Error001
A904,ZoneC,No damage,Error002
A905,ZoneD,Very minor damage,Error003
A906,ZoneD,Very minor damage,Error005
A907,ZoneA,Minor damage,Error001
A908,ZoneB,No damage,Error002
A909,ZoneB,Severe damage,Error001
A910,ZoneD,Severe damage,Error003
A911,ZoneA,Very minor damage,Error001
A912,ZoneC,Moderate damage,Error005
A913,ZoneB,Moderate damage,Error001
A914,ZoneA,No damage,Error002
A915,ZoneB,No damage,Error002
A916,ZoneA,No damage,Error002
A917,ZoneD,Very minor damage,Error001
A918,ZoneD,Minor damage,Error003
A919,ZoneA,No damage,Error002
A920,ZoneA,No damage,Error002
A921,ZoneA,Very minor damage,Error004
A922,ZoneA,No damage,Error002
A923,ZoneA,No damage,Error002
A924,ZoneB,Moderate damage,Error001
A925,ZoneD,No damage,Error002
A926,ZoneB,Moderate damage,Error005
A927,ZoneA,Minor damage,Error005
A928,ZoneB,No damage,Error002
A929,ZoneD,No damage,Error002
A930,ZoneD,Moderate damage,Error004
A931,ZoneB,Minor damage,Error003
A932,ZoneC,Severe damage,Error004
A933,ZoneB,Minor damage,Error001
A934,ZoneC,No damage,Error002
A935,ZoneB,No damage,Error002
A936,ZoneB,Very minor damage,Error003
A937,ZoneA,No damage,Error002
A938,ZoneA,Moderate damage,Error004
A939,ZoneD,Moderate damage,Error003
A940,ZoneD,Severe damage,Error003
A941,ZoneD,Very minor damage,Error001
A942,ZoneB,Severe damage,Error003
A943,ZoneA,No damage,Error002
A944,ZoneD,Severe damage,Error001
A945,ZoneB,No damage,Error002
A946,ZoneD,Minor damage,Error005
,ZoneC,Severe damage,Error005
A2000,ZoneB,No damage,Error010
