"BOOKINGID","REGISTRATIONNO","BOOKINGDATE","DEPARTUREZONE","DESTINATIONZONE","PASSENGERID"
T1484,Car15,2015-05-07 11:00:00.000,ZoneD,ZoneC,U019
T1485,Car22,2017-02-27 03:00:00.000,ZoneC,ZoneA,U018
T1486,Car19,2018-07-31 22:00:00.000,ZoneA,ZoneC,U113
T1487,Car17,2018-04-04 19:00:00.000,ZoneC,ZoneC,U092
T1488,Car25,2015-07-07 07:00:00.000,ZoneD,ZoneB,U147
T1489,Car22,2019-01-23 18:00:00.000,ZoneA,ZoneC,U010
T1490,Car04,2018-07-08 14:00:00.000,ZoneA,ZoneC,U059
T1491,Car12,2015-03-09 17:00:00.000,ZoneA,ZoneC,U141
T1492,Car14,2021-06-29 11:00:00.000,ZoneB,ZoneC,U049
T1493,Car22,2021-07-19 01:00:00.000,ZoneB,ZoneD,U159
T1494,Car28,2020-09-13 02:00:00.000,ZoneC,ZoneC,U023
T1495,Car27,2016-10-18 01:00:00.000,ZoneD,ZoneA,U066
T1496,Car12,2021-10-21 20:00:00.000,ZoneD,ZoneD,U137
T1497,Car26,2016-05-12 22:00:00.000,ZoneD,ZoneD,U161
T1498,Car11,2021-01-01 02:00:00.000,ZoneC,ZoneB,U047
T1499,Car17,2021-07-11 03:00:00.000,ZoneD,ZoneA,U064
T1500,Car05,2020-01-13 13:00:00.000,ZoneA,ZoneB,U143
T1501,Car05,2015-07-30 10:00:00.000,ZoneC,ZoneA,U014
T1502,Car07,2020-04-23 04:00:00.000,ZoneC,ZoneC,U085
T1503,Car18,2017-12-30 19:00:00.000,ZoneA,ZoneA,U095
T1504,Car26,2015-10-13 10:00:00.000,ZoneC,ZoneA,U123
T1505,Car29,2015-10-16 03:00:00.000,ZoneD,ZoneA,U028
T1506,Car15,2018-05-02 02:00:00.000,ZoneD,ZoneA,U144
T1507,Car26,2020-06-11 03:00:00.000,ZoneA,ZoneB,U061
T1508,Car17,2021-03-18 03:00:00.000,ZoneC,ZoneA,U023
T1509,Car23,2019-03-15 04:00:00.000,ZoneB,ZoneD,U065
T1510,Car13,2018-01-10 20:00:00.000,ZoneD,ZoneA,U155
T1511,Car13,2021-12-25 05:00:00.000,ZoneC,ZoneB,U033
T1512,Car14,2021-04-24 05:00:00.000,ZoneA,ZoneB,U016
T1513,Car12,2015-01-24 13:00:00.000,ZoneD,ZoneD,U126
T1514,Car05,2018-08-27 19:00:00.000,ZoneC,ZoneC,U047
T1515,Car25,2019-10-18 16:00:00.000,ZoneC,ZoneA,U095
T1516,Car02,2016-10-15 18:00:00.000,ZoneA,ZoneA,U111
T1517,Car06,2021-07-18 10:00:00.000,ZoneB,ZoneD,U059
T1518,Car22,2017-02-16 02:00:00.000,ZoneD,ZoneA,U093
T1519,Car26,2015-10-23 15:00:00.000,ZoneC,ZoneD,U162
T1520,Car10,2019-08-27 14:00:00.000,ZoneD,ZoneD,U077
T1521,Car21,2020-06-12 09:00:00.000,ZoneA,ZoneC,U162
T1522,Car29,2020-07-31 18:00:00.000,ZoneB,ZoneD,U028
T1523,Car05,2020-09-23 12:00:00.000,ZoneD,ZoneC,U065
T1524,Car16,2017-06-01 07:00:00.000,ZoneD,ZoneD,U161
T1525,Car16,2015-09-17 14:00:00.000,ZoneD,ZoneA,U043
T1526,Car19,2015-04-08 22:00:00.000,ZoneC,ZoneA,U150
T1527,Car15,2020-03-07 12:00:00.000,ZoneA,ZoneD,U074
T1528,Car01,2020-09-17 21:00:00.000,ZoneC,ZoneA,U092
T1529,Car15,2020-12-29 09:00:00.000,ZoneA,ZoneB,U019
T1530,Car29,2015-04-21 05:00:00.000,ZoneD,ZoneC,U139
T1531,Car11,2021-11-21 21:00:00.000,ZoneD,ZoneA,U145
T1532,Car26,2019-08-06 08:00:00.000,ZoneB,ZoneD,U103
T1533,Car01,2015-08-01 17:00:00.000,ZoneC,ZoneB,U115
T1534,Car07,2016-05-08 03:00:00.000,ZoneC,ZoneD,U012
T1535,Car19,2019-11-08 07:00:00.000,ZoneB,ZoneB,U145
T1536,Car23,2015-03-27 15:00:00.000,ZoneA,ZoneD,U116
T1537,Car30,2019-02-24 10:00:00.000,ZoneC,ZoneC,U065
T1538,Car08,2019-07-18 04:00:00.000,ZoneC,ZoneD,U063
T1539,Car24,2021-08-14 12:00:00.000,ZoneD,ZoneB,U050
T1540,Car11,2020-08-14 07:00:00.000,ZoneC,ZoneB,U048
T1541,Car23,2017-04-08 08:00:00.000,ZoneC,ZoneB,U116
T1542,Car29,2020-06-07 14:00:00.000,ZoneD,ZoneD,U042
T1543,Car30,2021-01-12 03:00:00.000,ZoneA,ZoneC,U068
T1544,Car07,2018-06-23 14:00:00.000,ZoneB,ZoneD,U065
T1545,Car14,2017-06-20 01:00:00.000,ZoneC,ZoneB,U075
T1546,Car15,2017-11-24 13:00:00.000,ZoneD,ZoneB,U100
T1547,Car19,2016-02-17 07:00:00.000,ZoneC,ZoneC,U117
T1548,Car29,2018-06-21 17:00:00.000,ZoneB,ZoneB,U080
T1549,Car11,2017-06-21 07:00:00.000,ZoneB,ZoneD,U093
T1550,Car22,2016-04-03 23:00:00.000,ZoneD,ZoneA,U093
T1551,Car04,2015-02-20 10:00:00.000,ZoneD,ZoneA,U054
T1552,Car24,2019-04-25 20:00:00.000,ZoneA,ZoneA,U106
T1553,Car20,2017-11-28 12:00:00.000,ZoneD,ZoneB,U134
T1554,Car06,2021-05-02 13:00:00.000,ZoneA,ZoneB,U088
T1555,Car11,2020-09-01 05:00:00.000,ZoneD,ZoneD,U134
T1556,Car04,2015-01-04 18:00:00.000,ZoneD,ZoneB,U147
T1557,Car04,2018-10-13 16:00:00.000,ZoneA,ZoneA,U014
T1558,Car30,2018-09-29 02:00:00.000,ZoneA,ZoneB,U108
T1559,Car14,2017-03-30 04:00:00.000,ZoneB,ZoneC,U020
T1560,Car03,2015-09-25 07:00:00.000,ZoneC,ZoneB,U067
T1561,Car27,2018-12-23 22:00:00.000,ZoneC,ZoneA,U138
T1562,Car05,2018-09-05 08:00:00.000,ZoneD,ZoneB,U064
T1563,Car12,2018-03-09 08:00:00.000,ZoneA,ZoneD,U138
T1564,Car24,2020-10-08 12:00:00.000,ZoneC,ZoneC,U034
T1565,Car29,2017-12-15 14:00:00.000,ZoneA,ZoneC,U017
T1566,Car15,2020-09-19 23:00:00.000,ZoneD,ZoneD,U091
T1567,Car23,2020-06-10 17:00:00.000,ZoneD,ZoneD,U069
T1568,Car02,2019-03-20 19:00:00.000,ZoneA,ZoneC,U144
T1569,Car05,2020-08-05 08:00:00.000,ZoneC,ZoneC,U099
T1570,Car04,2015-05-19 23:00:00.000,ZoneC,ZoneB,U152
T1571,Car12,2020-10-26 15:00:00.000,ZoneA,ZoneD,U137
T1572,Car14,2017-11-03 02:00:00.000,ZoneD,ZoneD,U067
T1573,Car11,2017-11-22 06:00:00.000,ZoneB,ZoneA,U076
T1574,Car17,2016-10-28 21:00:00.000,ZoneD,ZoneC,U156
T1575,Car19,2020-09-23 17:00:00.000,ZoneB,ZoneA,U019
T1576,Car18,2016-08-21 03:00:00.000,ZoneB,ZoneC,U144
T1577,Car24,2019-07-26 02:00:00.000,ZoneB,ZoneD,U100
T1578,Car30,2021-10-20 14:00:00.000,ZoneA,ZoneB,U153
T1579,Car01,2021-03-06 11:00:00.000,ZoneB,ZoneC,U145
T1580,Car01,2015-01-28 22:00:00.000,ZoneD,ZoneA,U128
T1581,Car26,2015-08-17 13:00:00.000,ZoneB,ZoneB,U109
T3140,Car06,2021-01-20 06:00:00.000,ZoneA,ZoneA,U054
T3141,Car02,2018-09-28 11:00:00.000,ZoneA,ZoneA,U015
T3142,Car23,2020-09-03 07:00:00.000,ZoneD,ZoneC,U031
T3143,Car24,2020-07-20 12:00:00.000,ZoneA,ZoneA,U039
T3144,Car25,2015-08-22 08:00:00.000,ZoneD,ZoneA,U091
T3145,Car30,2021-11-06 06:00:00.000,ZoneD,ZoneD,U085
T3146,Car04,2019-05-23 18:00:00.000,ZoneD,ZoneD,U144
T3147,Car13,2017-01-24 04:00:00.000,ZoneA,ZoneD,U021
T3148,Car07,2020-08-28 21:00:00.000,ZoneA,ZoneC,U111
T3149,Car03,2021-04-06 22:00:00.000,ZoneD,ZoneA,U039
T3150,Car25,2018-04-15 05:00:00.000,ZoneB,ZoneA,U108
T3151,Car13,2017-07-29 15:00:00.000,ZoneA,ZoneC,U011
T3152,Car01,2017-04-18 08:00:00.000,ZoneD,ZoneD,U079
T3153,Car14,2021-01-22 13:00:00.000,ZoneA,ZoneC,U113
T3154,Car23,2017-08-28 20:00:00.000,ZoneC,ZoneD,U055
T3155,Car27,2016-04-06 21:00:00.000,ZoneD,ZoneC,U092
T3156,Car28,2020-05-20 11:00:00.000,ZoneA,ZoneB,U146
T3157,Car23,2019-10-14 02:00:00.000,ZoneD,ZoneC,U124
T3158,Car02,2020-05-25 16:00:00.000,ZoneA,ZoneA,U018
T3159,Car28,2015-08-17 08:00:00.000,ZoneD,ZoneD,U060
T3160,Car21,2016-05-23 13:00:00.000,ZoneA,ZoneC,U054
T3161,Car25,2021-10-17 21:00:00.000,ZoneD,ZoneB,U063
T3162,Car01,2019-09-07 10:00:00.000,ZoneB,ZoneB,U022
T3163,Car29,2019-01-28 18:00:00.000,ZoneA,ZoneA,U035
T3164,Car28,2019-12-15 14:00:00.000,ZoneC,ZoneA,U101
T3165,Car24,2015-10-07 09:00:00.000,ZoneC,ZoneD,U159
T3166,Car22,2020-02-16 07:00:00.000,ZoneD,ZoneA,U081
T3167,Car15,2017-05-12 12:00:00.000,ZoneC,ZoneA,U048
T3168,Car30,2017-01-17 12:00:00.000,ZoneC,ZoneC,U034
T3169,Car30,2017-04-15 00:00:00.000,ZoneA,ZoneB,U114
T3170,Car12,2021-04-04 00:00:00.000,ZoneB,ZoneB,U098
T3171,Car22,2017-01-06 01:00:00.000,ZoneB,ZoneD,U142
T3172,Car06,2020-07-23 15:00:00.000,ZoneD,ZoneB,U050
T3173,Car15,2020-09-08 17:00:00.000,ZoneC,ZoneC,U127
T3174,Car01,2020-03-03 03:00:00.000,ZoneD,ZoneA,U135
T3175,Car22,2015-11-05 03:00:00.000,ZoneC,ZoneA,U043
T3176,Car10,2017-11-18 17:00:00.000,ZoneD,ZoneA,U157
T3177,Car10,2020-05-31 17:00:00.000,ZoneC,ZoneD,U129
T3178,Car29,2020-01-09 19:00:00.000,ZoneB,ZoneA,U062
T3179,Car26,2016-01-12 16:00:00.000,ZoneD,ZoneB,U049
T3180,Car26,2016-05-28 03:00:00.000,ZoneB,ZoneA,U098
T3181,Car03,2015-03-02 10:00:00.000,ZoneB,ZoneB,U119
T3182,Car20,2021-12-25 05:00:00.000,ZoneC,ZoneC,U040
T3183,Car16,2016-03-12 16:00:00.000,ZoneD,ZoneB,U116
T3184,Car13,2021-12-09 19:00:00.000,ZoneA,ZoneD,U110
T3185,Car09,2018-08-08 05:00:00.000,ZoneD,ZoneB,U071
T3187,Car24,2015-03-03 16:00:00.000,ZoneD,ZoneD,U094
T3188,Car01,2015-07-11 21:00:00.000,ZoneD,ZoneC,U072
T3189,Car01,2018-12-13 12:00:00.000,ZoneD,ZoneA,U073
T3190,Car05,2020-07-01 03:00:00.000,ZoneD,ZoneA,U108
T3191,Car25,2021-06-08 15:00:00.000,ZoneB,ZoneC,U143
T3192,Car09,2019-07-14 15:00:00.000,ZoneB,ZoneC,U055
T3193,Car30,2016-12-16 15:00:00.000,ZoneD,ZoneC,U010
T3194,Car04,2021-10-28 22:00:00.000,ZoneC,ZoneA,U106
T3195,Car14,2017-06-15 21:00:00.000,ZoneC,ZoneC,U106
T3196,Car16,2018-02-16 22:00:00.000,ZoneC,ZoneA,U054
T3197,Car13,2021-11-17 17:00:00.000,ZoneD,ZoneB,U143
T3198,Car30,2016-05-30 05:00:00.000,ZoneC,ZoneC,U086
T3199,Car29,2020-04-09 00:00:00.000,ZoneD,ZoneD,U128
T3200,Car20,2020-12-26 06:00:00.000,ZoneA,ZoneA,U031
T3201,Car11,2015-06-15 00:00:00.000,ZoneD,ZoneD,U028
T3202,Car09,2020-01-19 04:00:00.000,ZoneC,ZoneB,U016
T3203,Car06,2016-11-01 15:00:00.000,ZoneC,ZoneD,U078
T3204,Car09,2015-10-06 18:00:00.000,ZoneB,ZoneA,U011
T3205,Car30,2016-10-23 16:00:00.000,ZoneA,ZoneD,U094
T3206,Car20,2015-02-05 20:00:00.000,ZoneA,ZoneA,U019
T3207,Car29,2020-08-23 06:00:00.000,ZoneB,ZoneB,U151
T3208,Car14,2021-11-20 05:00:00.000,ZoneD,ZoneA,U069
T3209,Car24,2020-04-16 07:00:00.000,ZoneB,ZoneD,U085
T3210,Car17,2021-07-21 08:00:00.000,ZoneD,ZoneA,U012
T3211,Car11,2015-09-22 14:00:00.000,ZoneC,ZoneB,U105
T3212,Car11,2017-12-06 15:00:00.000,ZoneA,ZoneD,U137
T3213,Car20,2015-02-01 01:00:00.000,ZoneC,ZoneB,U123
T3214,Car28,2020-11-23 13:00:00.000,ZoneB,ZoneB,U067
T3215,Car24,2018-10-30 03:00:00.000,ZoneA,ZoneA,U129
T3216,Car19,2017-03-23 07:00:00.000,ZoneD,ZoneD,U063
T3217,Car24,2016-09-16 19:00:00.000,ZoneA,ZoneA,U015
T3218,Car03,2016-02-06 01:00:00.000,ZoneC,ZoneD,U090
T3219,Car02,2019-10-17 10:00:00.000,ZoneA,ZoneD,U120
T3220,Car23,2020-04-07 13:00:00.000,ZoneC,ZoneA,U132
T3221,Car18,2018-07-31 22:00:00.000,ZoneA,ZoneC,U125
T3222,Car06,2020-07-26 03:00:00.000,ZoneD,ZoneA,U123
T3223,Car21,2016-08-27 04:00:00.000,ZoneA,ZoneB,U019
T3224,Car28,2020-11-30 10:00:00.000,ZoneC,ZoneB,U140
T3225,Car09,2017-02-02 03:00:00.000,ZoneC,ZoneA,U155
T3226,Car01,2015-08-12 23:00:00.000,ZoneC,ZoneD,U066
T3227,Car13,2018-12-30 14:00:00.000,ZoneC,ZoneC,U120
T3228,Car20,2019-10-14 17:00:00.000,ZoneC,ZoneB,U152
T3229,Car07,2019-07-05 01:00:00.000,ZoneD,ZoneA,U157
T3230,Car16,2015-02-22 17:00:00.000,ZoneA,ZoneC,U021
T3231,Car26,2017-10-21 14:00:00.000,ZoneC,ZoneD,U081
T3232,Car03,2017-01-07 12:00:00.000,ZoneA,ZoneC,U087
T3233,Car08,2021-09-02 01:00:00.000,ZoneB,ZoneD,U093
T3234,Car25,2021-12-05 20:00:00.000,ZoneA,ZoneB,U031
T3235,Car08,2018-10-10 18:00:00.000,ZoneB,ZoneD,U011
T3236,Car03,2015-11-05 03:00:00.000,ZoneC,ZoneC,U064
T3237,Car28,2019-09-15 18:00:00.000,ZoneD,ZoneD,U118
T3238,Car03,2017-02-25 21:00:00.000,ZoneC,ZoneB,U162
T3239,Car19,2017-10-03 01:00:00.000,ZoneD,ZoneB,U057
T3240,Car12,2015-12-28 01:00:00.000,ZoneA,ZoneC,U105
T3241,Car08,2017-11-01 10:00:00.000,ZoneA,ZoneD,U050
T3242,Car07,2020-08-10 23:00:00.000,ZoneB,ZoneA,U107
T3243,Car16,2020-05-29 10:00:00.000,ZoneC,ZoneB,U016
T3244,Car30,2015-01-17 16:00:00.000,ZoneC,ZoneC,U088
T3245,Car23,2019-07-23 09:00:00.000,ZoneB,ZoneC,U019
T3246,Car19,2019-03-22 21:00:00.000,ZoneB,ZoneB,U040
T3247,Car29,2018-02-20 16:00:00.000,ZoneD,ZoneA,U131
T3248,Car08,2020-12-16 11:00:00.000,ZoneD,ZoneD,U033
T3249,Car10,2019-06-24 05:00:00.000,ZoneD,ZoneA,U088
T3250,Car26,2016-03-26 00:00:00.000,ZoneC,ZoneC,U129
T3251,Car29,2015-07-02 07:00:00.000,ZoneD,ZoneA,U096
T3252,Car04,2018-07-18 09:00:00.000,ZoneA,ZoneA,U075
T3253,Car11,2021-11-20 05:00:00.000,ZoneB,ZoneB,U049
T3254,Car10,2021-11-02 22:00:00.000,ZoneC,ZoneD,U120
T3255,Car02,2021-08-10 03:00:00.000,ZoneA,ZoneD,U129
T3256,Car18,2019-02-20 16:00:00.000,ZoneA,ZoneB,U108
T3257,Car21,2018-11-20 04:00:00.000,ZoneA,ZoneB,U080
T3258,Car13,2015-02-25 15:00:00.000,ZoneD,ZoneC,U094
T3259,Car23,2021-08-04 02:00:00.000,ZoneA,ZoneA,U148
T3260,Car05,2019-07-09 10:00:00.000,ZoneA,ZoneA,U047
T3261,Car21,2019-01-11 11:00:00.000,ZoneA,ZoneA,U054
T3262,Car15,2016-11-22 21:00:00.000,ZoneA,ZoneC,U118
T3263,Car27,2018-03-10 14:00:00.000,ZoneC,ZoneA,U020
T3264,Car27,2016-07-06 12:00:00.000,ZoneD,ZoneD,U101
T3265,Car12,2021-12-29 14:00:00.000,ZoneB,ZoneB,U030
T3266,Car17,2018-03-01 10:00:00.000,ZoneA,ZoneC,U127
T3267,Car29,2018-04-29 09:00:00.000,ZoneB,ZoneA,U098
T3268,Car29,2016-11-02 01:00:00.000,ZoneC,ZoneD,U104
T3269,Car17,2020-08-04 12:00:00.000,ZoneC,ZoneA,U153
T3270,Car06,2021-06-05 22:00:00.000,ZoneA,ZoneC,U062
T3271,Car28,2021-10-19 23:00:00.000,ZoneA,ZoneD,U156
T3272,Car22,2017-02-24 05:00:00.000,ZoneC,ZoneA,U079
T3273,Car09,2020-08-01 09:00:00.000,ZoneC,ZoneA,U014
T3274,Car09,2016-04-06 16:00:00.000,ZoneC,ZoneB,U132
T3275,Car02,2020-12-02 02:00:00.000,ZoneD,ZoneC,U030
T3276,Car22,2017-08-09 16:00:00.000,ZoneC,ZoneD,U120
T3277,Car14,2021-04-15 01:00:00.000,ZoneA,ZoneA,U134
T3278,Car07,2018-02-24 15:00:00.000,ZoneC,ZoneB,U020
T3279,Car02,2021-01-26 22:00:00.000,ZoneD,ZoneD,U146
T3280,Car27,2017-07-29 20:00:00.000,ZoneA,ZoneC,U102
T3281,Car05,2016-07-11 02:00:00.000,ZoneD,ZoneD,U147
T3283,Car25,2015-08-04 15:00:00.000,ZoneB,ZoneC,U063
T3284,Car22,2015-04-23 22:00:00.000,ZoneC,ZoneB,U151
T3285,Car02,2018-03-28 17:00:00.000,ZoneB,ZoneB,U056
T3286,Car26,2016-07-14 00:00:00.000,ZoneC,ZoneD,U059
T3287,Car15,2020-09-21 00:00:00.000,ZoneA,ZoneA,U110
T3288,Car18,2020-05-26 02:00:00.000,ZoneB,ZoneB,U103
T3289,Car17,2015-02-10 10:00:00.000,ZoneC,ZoneA,U079
T3290,Car11,2015-02-25 00:00:00.000,ZoneA,ZoneA,U042
T3291,Car22,2020-06-08 20:00:00.000,ZoneD,ZoneD,U048
T3292,Car22,2018-05-20 10:00:00.000,ZoneB,ZoneA,U043
T3293,Car08,2019-10-15 13:00:00.000,ZoneA,ZoneA,U114
T3294,Car05,2015-01-15 04:00:00.000,ZoneC,ZoneA,U073
T3295,Car13,2015-09-29 06:00:00.000,ZoneC,ZoneD,U045
T3296,Car05,2018-11-09 23:00:00.000,ZoneC,ZoneD,U104
T3297,Car11,2017-07-09 10:00:00.000,ZoneD,ZoneB,U017
T3298,Car26,2018-11-14 18:00:00.000,ZoneB,ZoneD,U139
T3299,Car13,2016-07-30 16:00:00.000,ZoneC,ZoneC,U010
T3300,Car18,2020-10-17 06:00:00.000,ZoneB,ZoneA,U028
T3301,Car21,2020-12-19 09:00:00.000,ZoneA,ZoneB,U058
T3302,Car02,2016-12-04 03:00:00.000,ZoneC,ZoneD,U133
T3303,Car06,2017-12-18 22:00:00.000,ZoneD,ZoneA,U010
T3304,Car24,2016-10-17 05:00:00.000,ZoneA,ZoneD,U038
T3305,Car05,2021-11-21 01:00:00.000,ZoneD,ZoneD,U151
T3306,Car14,2019-08-16 13:00:00.000,ZoneD,ZoneC,U035
T3307,Car20,2016-05-11 21:00:00.000,ZoneB,ZoneB,U128
T3308,Car07,2015-04-14 03:00:00.000,ZoneB,ZoneA,U086
T3309,Car30,2016-07-29 05:00:00.000,ZoneA,ZoneA,U077
T3310,Car10,2020-06-12 09:00:00.000,ZoneB,ZoneC,U093
T3311,Car02,2020-05-21 02:00:00.000,ZoneA,ZoneB,U098
T3312,Car28,2018-10-02 10:00:00.000,ZoneB,ZoneB,U129
T3313,Car29,2017-06-03 14:00:00.000,ZoneA,ZoneC,U015
T3314,Car14,2019-08-22 19:00:00.000,ZoneB,ZoneA,U094
T3315,Car25,2015-08-02 13:00:00.000,ZoneB,ZoneD,U126
T3316,Car18,2021-03-19 04:00:00.000,ZoneC,ZoneD,U141
T3317,Car14,2016-11-01 10:00:00.000,ZoneD,ZoneB,U161
T3318,Car22,2019-08-26 23:00:00.000,ZoneA,ZoneB,U154
T3319,Car13,2019-07-15 16:00:00.000,ZoneB,ZoneD,U127
T3320,Car27,2015-08-25 21:00:00.000,ZoneA,ZoneB,U050
T3321,Car20,2018-10-30 03:00:00.000,ZoneC,ZoneA,U099
T3322,Car02,2016-08-06 13:00:00.000,ZoneB,ZoneC,U117
T3323,Car21,2017-09-21 04:00:00.000,ZoneC,ZoneD,U076
T3324,Car08,2021-01-20 11:00:00.000,ZoneD,ZoneC,U123
T3325,Car14,2016-06-07 03:00:00.000,ZoneA,ZoneD,U043
T3326,Car30,2021-03-15 10:00:00.000,ZoneA,ZoneB,U119
T3327,Car04,2018-02-08 09:00:00.000,ZoneB,ZoneD,U090
T3328,Car29,2021-05-10 06:00:00.000,ZoneD,ZoneC,U148
T3329,Car08,2021-08-12 20:00:00.000,ZoneA,ZoneD,U072
T3331,Car21,2017-12-11 00:00:00.000,ZoneD,ZoneD,U107
T3332,Car01,2017-03-01 20:00:00.000,ZoneC,ZoneB,U029
T3333,Car19,2016-09-09 07:00:00.000,ZoneB,ZoneC,U119
T3334,Car17,2016-09-05 13:00:00.000,ZoneC,ZoneA,U096
T3335,Car29,2019-04-15 05:00:00.000,ZoneD,ZoneC,U124
T3336,Car10,2015-11-18 21:00:00.000,ZoneC,ZoneA,U108
T3337,Car16,2017-05-27 02:00:00.000,ZoneB,ZoneB,U067
T3338,Car13,2018-10-31 04:00:00.000,ZoneB,ZoneD,U044
T3339,Car27,2018-06-09 20:00:00.000,ZoneD,ZoneC,U144
T3340,Car18,2019-07-10 11:00:00.000,ZoneC,ZoneB,U038
T3341,Car03,2020-01-18 08:00:00.000,ZoneA,ZoneD,U033
T3342,Car01,2021-07-10 02:00:00.000,ZoneC,ZoneB,U031
T3343,Car19,2021-04-25 11:00:00.000,ZoneD,ZoneA,U096
T3344,Car01,2020-09-07 01:00:00.000,ZoneA,ZoneA,U116
T3345,Car06,2020-12-25 10:00:00.000,ZoneC,ZoneA,U158
T3346,Car13,2018-09-05 08:00:00.000,ZoneD,ZoneD,U113
T3347,Car20,2019-11-14 08:00:00.000,ZoneB,ZoneA,U154
T3348,Car17,2016-01-15 04:00:00.000,ZoneD,ZoneA,U139
T3349,Car28,2018-04-26 01:00:00.000,ZoneB,ZoneC,U156
T3350,Car17,2020-10-24 18:00:00.000,ZoneA,ZoneD,U117
T3351,Car03,2018-07-31 12:00:00.000,ZoneB,ZoneB,U146
T3352,Car17,2021-09-17 11:00:00.000,ZoneD,ZoneD,U138
T3353,Car13,2019-10-08 16:00:00.000,ZoneD,ZoneB,U115
T3354,Car15,2017-06-29 00:00:00.000,ZoneC,ZoneA,U100
T3355,Car05,2015-03-24 22:00:00.000,ZoneB,ZoneB,U119
T3356,Car22,2021-01-11 12:00:00.000,ZoneC,ZoneA,U019
T3357,Car10,2021-10-01 10:00:00.000,ZoneD,ZoneA,U046
T3358,Car24,2015-12-08 01:00:00.000,ZoneC,ZoneD,U140
T3359,Car27,2016-03-10 04:00:00.000,ZoneB,ZoneB,U069
T3360,Car03,2015-03-30 23:00:00.000,ZoneD,ZoneC,U015
T3361,Car26,2020-09-15 09:00:00.000,ZoneB,ZoneC,U092
T3362,Car24,2015-12-09 12:00:00.000,ZoneD,ZoneB,U109
T3363,Car06,2015-06-20 00:00:00.000,ZoneC,ZoneC,U150
T3364,Car25,2021-07-13 15:00:00.000,ZoneB,ZoneC,U014
T3365,Car07,2017-10-27 00:00:00.000,ZoneD,ZoneC,U141
T3366,Car29,2018-06-12 08:00:00.000,ZoneD,ZoneA,U085
T3367,Car20,2019-08-31 23:00:00.000,ZoneD,ZoneD,U049
T3368,Car11,2021-11-21 06:00:00.000,ZoneD,ZoneC,U064
T3369,Car24,2018-11-24 13:00:00.000,ZoneB,ZoneA,U084
T3370,Car17,2019-03-05 09:00:00.000,ZoneC,ZoneD,U140
T3371,Car29,2015-11-29 07:00:00.000,ZoneC,ZoneB,U101
T3372,Car02,2019-04-12 17:00:00.000,ZoneA,ZoneB,U131
T3373,Car20,2016-05-25 15:00:00.000,ZoneA,ZoneA,U151
T3374,Car10,2020-01-22 17:00:00.000,ZoneA,ZoneA,U110
T3375,Car26,2019-04-16 01:00:00.000,ZoneC,ZoneB,U070
T3376,Car11,2015-10-03 10:00:00.000,ZoneC,ZoneC,U047
T3377,Car04,2016-10-24 02:00:00.000,ZoneC,ZoneC,U097
T3378,Car12,2019-08-25 17:00:00.000,ZoneB,ZoneB,U026
T3379,Car30,2017-04-18 08:00:00.000,ZoneD,ZoneB,U061
T3380,Car13,2020-12-20 20:00:00.000,ZoneD,ZoneC,U020
T3381,Car22,2019-04-13 08:00:00.000,ZoneC,ZoneB,U065
T3382,Car19,2019-08-24 06:00:00.000,ZoneB,ZoneD,U042
T3383,Car15,2019-10-02 20:00:00.000,ZoneB,ZoneA,U019
T3384,Car24,2019-05-12 02:00:00.000,ZoneB,ZoneA,U040
T3385,Car09,2020-10-19 03:00:00.000,ZoneB,ZoneB,U111
T3386,Car05,2017-05-29 14:00:00.000,ZoneC,ZoneC,U137
T3387,Car16,2015-12-05 08:00:00.000,ZoneD,ZoneC,U041
T3388,Car26,2015-05-11 00:00:00.000,ZoneB,ZoneA,U029
T3389,Car13,2017-05-22 17:00:00.000,ZoneB,ZoneA,U107
T3390,Car11,2021-01-05 11:00:00.000,ZoneB,ZoneA,U091
T3391,Car03,2021-03-10 00:00:00.000,ZoneB,ZoneD,U071
T3392,Car20,2016-10-16 14:00:00.000,ZoneA,ZoneA,U160
T3393,Car04,2018-04-08 03:00:00.000,ZoneC,ZoneC,U021
T3394,Car21,2019-06-17 23:00:00.000,ZoneD,ZoneD,U051
T3395,Car22,2015-03-18 16:00:00.000,ZoneC,ZoneD,U057
T3396,Car19,2015-12-13 06:00:00.000,ZoneA,ZoneB,U077
T3397,Car29,2021-11-03 08:00:00.000,ZoneD,ZoneB,U033
T3398,Car28,2019-03-10 09:00:00.000,ZoneD,ZoneD,U012
T3399,Car02,2018-05-11 06:00:00.000,ZoneA,ZoneC,U082
T3400,Car17,2020-12-18 18:00:00.000,ZoneB,ZoneC,U059
T3401,Car08,2017-12-01 05:00:00.000,ZoneB,ZoneD,U158
T3402,Car13,2021-11-23 13:00:00.000,ZoneC,ZoneC,U129
T3403,Car22,2018-06-27 23:00:00.000,ZoneC,ZoneB,U158
T3404,Car26,2020-11-03 08:00:00.000,ZoneC,ZoneB,U053
T3405,Car06,2016-02-08 08:00:00.000,ZoneD,ZoneB,U083
T3406,Car16,2018-01-06 11:00:00.000,ZoneA,ZoneD,U043
T3407,Car29,2016-12-31 20:00:00.000,ZoneC,ZoneC,U092
T3408,Car25,2019-07-21 12:00:00.000,ZoneA,ZoneB,U025
T3409,Car05,2015-10-05 22:00:00.000,ZoneD,ZoneC,U096
T3410,Car25,2021-11-18 13:00:00.000,ZoneA,ZoneB,U070
